timestamp,symbol,price,volume
2024-01-15T09:00:05Z,AAPL,150.25,100
2024-01-15T09:00:15Z,AAPL,150.50,200
2024-01-15T09:00:25Z,AAPL,150.00,150
2024-01-15T09:00:35Z,AAPL,150.75,300
2024-01-15T09:00:45Z,AAPL,151.00,250
2024-01-15T09:00:55Z,AAPL,150.80,175
2024-01-15T09:00:10Z,MSFT,420.00,50
2024-01-15T09:00:20Z,MSFT,420.50,75
2024-01-15T09:00:30Z,MSFT,419.80,100
2024-01-15T09:00:40Z,MSFT,421.00,60
2024-01-15T09:01:05Z,AAPL,151.20,120
2024-01-15T09:01:15Z,AAPL,151.50,200
2024-01-15T09:01:25Z,AAPL,151.10,180
2024-01-15T09:01:35Z,AAPL,151.80,150
2024-01-15T09:01:10Z,MSFT,421.50,80
2024-01-15T09:01:20Z,MSFT,420.00,90
2024-01-15T09:02:05Z,AAPL,152.00,300
2024-01-15T09:02:15Z,AAPL,152.50,250
2024-01-15T09:02:05Z,MSFT,419.00,200
2024-01-15T09:02:15Z,MSFT,420.00,150
