date,category,sales
2023-01-01,Electronics,120
2023-02-01,Electronics,135
2023-03-01,Electronics,150
2023-04-01,Electronics,160
2023-05-01,Electronics,145
2023-06-01,Electronics,170
2023-07-01,Electronics,180
2023-08-01,Electronics,165
2023-09-01,Electronics,190
2023-10-01,Electronics,210
2023-11-01,Electronics,230
2023-12-01,Electronics,250
2023-01-01,Furniture,80
2023-02-01,Furniture,75
2023-03-01,Furniture,90
2023-04-01,Furniture,85
2023-05-01,Furniture,95
2023-06-01,Furniture,100
2023-07-01,Furniture,110
2023-08-01,Furniture,105
2023-09-01,Furniture,120
2023-10-01,Furniture,115
2023-11-01,Furniture,130
2023-12-01,Furniture,140
2023-01-01,Clothing,200
2023-02-01,Clothing,180
2023-03-01,Clothing,160
2023-04-01,Clothing,150
2023-05-01,Clothing,170
2023-06-01,Clothing,190
2023-07-01,Clothing,210
2023-08-01,Clothing,230
2023-09-01,Clothing,220
2023-10-01,Clothing,240
2023-11-01,Clothing,300
2023-12-01,Clothing,320
2023-01-01,Groceries,300
2023-02-01,Groceries,310
2023-03-01,Groceries,305
2023-04-01,Groceries,320
2023-05-01,Groceries,330
2023-06-01,Groceries,340
2023-07-01,Groceries,335
2023-08-01,Groceries,350
2023-09-01,Groceries,360
2023-10-01,Groceries,370
2023-11-01,Groceries,380
2023-12-01,Groceries,390
