spend,sales,region
58.35,117.24,North
12.41,42.15,North
45.4,93.05,North
25.18,52.51,North
95.42,204.08,North
39.24,72.01,North
58.42,119.35,North
45.97,92.37,North
92.65,187.95,North
18.19,40.93,North
16.41,33.94,North
34.24,80.16,North
73.41,150.66,North
93.77,188.4,North
63.52,129.69,North
60.02,127.95,North
28.21,58.49,North
93.06,191.95,North
82.53,164.18,North
62.04,129.89,North
54.27,122.3,North
83.86,171.92,North
75.02,152.97,North
70.48,147.04,North
76.78,149.82,North
28.45,65.72,North
48.35,108.86,North
18.95,44.25,North
81.59,162.75,North
59.37,133.76,North
23.02,42.86,North
56.58,118.85,North
91.91,182.47,North
35.68,76.46,North
60.27,129.13,North
29.73,66.46,North
39.75,84.44,North
22.22,46.31,North
11.11,16.23,North
77.34,159.89,North
94.62,186.42,North
66.45,133.15,North
28.3,55.48,North
66.47,129.84,North
48.72,103.12,North
45.42,101.45,North
89.69,188.66,North
80.26,165.6,North
7.02,10.89,North
53.79,107.01,North
9.54,25.41,North
15.28,36.8,North
41.09,83.54,North
79.14,162.67,North
64.7,128.37,North
14.02,36.51,North
90.24,188.34,North
98.82,200.15,North
62.06,133.75,North
66.58,137.0,North
44.76,52.12,South
93.59,131.12,South
79.14,116.85,South
15.21,24.24,South
61.08,118.63,South
27.81,20.69,South
67.52,109.58,South
84.93,132.39,South
87.91,148.12,South
43.09,93.73,South
78.14,135.56,South
85.87,147.68,South
53.24,77.67,South
43.36,91.56,South
85.35,118.13,South
18.84,59.54,South
81.05,123.34,South
53.67,82.61,South
10.13,14.52,South
50.81,95.58,South
99.71,150.82,South
6.36,37.18,South
21.1,62.98,South
93.91,132.96,South
33.36,65.52,South
58.22,96.16,South
31.52,57.43,South
51.12,95.35,South
26.77,35.35,South
97.23,139.12,South
12.59,38.34,South
89.24,117.01,South
83.38,106.33,South
41.23,98.1,South
7.35,32.83,South
15.16,40.25,South
59.54,76.21,South
84.87,137.74,South
72.02,129.89,South
34.86,62.68,South
18.62,29.51,South
41.97,69.4,South
98.0,145.61,South
9.26,11.59,South
67.2,131.12,South
70.18,121.52,South
94.8,123.7,South
73.4,144.29,South
98.63,154.48,South
58.71,77.26,South
82.97,96.78,South
30.92,40.58,South
46.77,66.25,South
56.5,50.41,South
75.76,95.36,South
31.72,93.37,South
22.57,28.7,South
7.03,37.04,South
56.45,92.21,South
35.43,80.99,South
27.98,51.14,West
85.52,196.06,West
84.83,234.59,West
40.11,138.2,West
37.88,141.72,West
21.66,88.02,West
44.11,124.41,West
24.68,75.65,West
57.93,191.63,West
62.11,208.29,West
10.99,53.42,West
16.19,65.59,West
81.93,260.38,West
23.29,70.83,West
96.63,346.53,West
17.72,46.81,West
45.38,124.91,West
12.26,-28.17,West
44.51,113.78,West
8.43,23.94,West
96.61,320.35,West
17.7,32.36,West
25.05,43.93,West
37.82,87.26,West
9.2,36.66,West
46.94,186.67,West
92.36,244.33,West
89.56,283.55,West
58.03,179.92,West
38.05,69.68,West
75.95,237.45,West
39.05,94.67,West
94.42,258.66,West
83.88,263.36,West
26.7,0.96,West
71.16,189.0,West
13.07,25.13,West
95.72,278.81,West
35.46,41.61,West
7.35,37.85,West
7.57,7.81,West
28.65,137.06,West
68.0,205.79,West
37.46,119.03,West
10.22,8.37,West
16.51,70.03,West
73.76,252.08,West
90.09,320.01,West
53.38,135.43,West
65.37,194.07,West
32.08,84.73,West
25.61,77.12,West
69.9,211.64,West
74.3,238.04,West
54.98,184.67,West
20.74,12.15,West
88.74,249.97,West
58.18,212.9,West
28.81,143.79,West
34.84,79.83,West
